Patient,MAGEA9,MAGEA10,MAGEA4,MAGEA8,MAGEA2B,MAGEA13P,MAGEA11,MAGEA6,MAGEA1,MAGEA12,MAGEA3,MAGEA7P,MAGEA4-AS1,MAGEA8-AS1,MAGEA5,MAGEA10-MAGEA5,MAGEA9B,MAGEA2
TCGA-AO-A03L-01A-41R-A056-07,0,0,0,19,0,0,2,0,9,0,0,0,0,10,0,0,0,0
TCGA-AN-A0FS-01A-11R-A034-07,0,0,0,22,0,0,0,0,2,0,0,0,0,6,0,0,0,1
TCGA-AN-A0AM-01A-11R-A034-07,0,0,0,0,0,0,1,7,9,1257,2,0,1,1,0,0,0,0
TCGA-V7-A7HQ-01A-11R-A33J-07,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
TCGA-GM-A3XL-01A-11R-A22U-07,0,4,4,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
TCGA-D8-A1XY-01A-11R-A14M-07,0,1,0,10,0,0,0,7,0,31,11,0,0,2,0,0,0,0
TCGA-B6-A0IO-01A-11R-A034-07,0,0,8,12,0,0,4,1,24,0,5,0,0,10,0,0,0,0
TCGA-C8-A137-01A-11R-A115-07,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
TCGA-LL-A73Z-01A-11R-A32P-07,2,1,172,2,0,0,0,604,1,1,149,0,0,0,0,0,103,0
TCGA-GM-A2DB-01A-31R-A18M-07,0,1260,841,1,2,0,13,663,151,1439,290,0,33,0,15,14,0,0
TCGA-AN-A0AL-01A-11R-A00Z-07,1,18,2963,15,8,0,0,4917,17,3127,5639,0,60,0,0,2,2,21
TCGA-A2-A0YC-01A-11R-A109-07,0,0,0,9,0,0,0,0,0,3,0,0,0,2,0,0,0,0
TCGA-AO-A0JB-01A-11R-A32Y-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TCGA-AN-A0XU-01A-11R-A109-07,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,2,0,0
TCGA-BH-A0W4-01A-11R-A109-07,0,0,0,7,0,0,3,0,0,0,0,0,0,1,0,0,0,0
TCGA-A2-A0D1-01A-11R-A034-07,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0
TCGA-B6-A0WZ-01A-11R-A109-07,0,0,0,9,0,0,0,2,798,0,0,0,0,5,0,0,0,0
TCGA-B6-A0IJ-01A-11R-A034-07,0,0,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0
TCGA-B6-A0RE-01A-11R-A056-07,0,0,10,2,0,0,2,10,4,1,5,0,0,0,0,0,0,0
TCGA-AN-A0FY-01A-11R-A034-07,0,1,0,13,0,0,1,0,1,0,0,0,0,5,2,2,0,0
TCGA-A7-A13F-01A-11R-A12P-07,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-BH-A1F0-01A-11R-A137-07,12,1896,9591,12,3,0,232,1784,139,1672,2141,0,163,1,8,4,766,7
TCGA-BH-A0BT-01A-11R-A12P-07,0,285,9,1,2,0,10,369,0,331,440,1,1,0,0,3,0,1
TCGA-OL-A66O-01A-11R-A31O-07,0,1,0,2,0,0,10,0,50,5,5,0,0,1,0,0,0,0
TCGA-BH-A0AZ-11A-22R-A12P-07,0,0,0,21,0,0,0,0,0,1,1,0,0,6,0,0,0,0
TCGA-D8-A1JD-01A-11R-A13Q-07,0,0,0,10,0,0,2,0,0,1,0,0,0,3,0,0,0,0
TCGA-BH-A18K-11A-13R-A12D-07,0,0,0,7,0,0,2,0,0,0,0,0,0,3,1,1,0,0
TCGA-BH-A18K-01A-11R-A12D-07,0,2,9,9,0,0,1,0,208,1,1,0,0,2,2,0,0,0
TCGA-D8-A27F-01A-11R-A16F-07,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
TCGA-B6-A0IB-01A-11R-A034-07,0,0,1,6,0,0,0,9,351,51,34,0,0,5,0,0,0,0
TCGA-LL-A6FR-01A-12R-A31O-07,0,0,536,0,0,1,1,0,0,1,0,0,91,0,0,0,2,0
TCGA-BH-A1FH-11B-42R-A13Q-07,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TCGA-A7-A0D9-01A-31R-A056-07,0,0,17,1,0,0,10,9,5,1,5,0,0,2,0,0,0,0
TCGA-A7-A0D9-11A-53R-A089-07,0,0,5,1,0,0,4,1,2,0,5,0,0,1,0,0,1,0
TCGA-A2-A3Y0-01A-11R-A239-07,69,20,19809,892,0,0,2668,6920,27,0,6821,1,753,21,2,2,8,0
TCGA-E2-A15K-11A-13R-A12P-07,0,0,2,1,0,0,1,0,4,2,0,0,0,0,0,0,0,0
TCGA-D8-A13Y-01A-11R-A115-07,0,0,0,2,0,0,0,1,9,0,0,0,0,1,0,0,0,0
TCGA-B6-A0WS-01A-11R-A115-07,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TCGA-A2-A3XV-01A-21R-A239-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-E2-A14Y-01A-21R-A12D-07,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
TCGA-LD-A7W5-01A-22R-A352-07,0,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,1,0
TCGA-A2-A04V-01A-21R-A034-07,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
TCGA-BH-A1EU-01A-11R-A137-07,0,0,0,32,0,0,1,0,6,1,0,0,0,6,0,0,0,0
TCGA-BH-A1EU-11A-23R-A137-07,0,1,0,7,0,0,0,0,0,0,0,1,0,1,3,2,0,0
TCGA-D8-A1XT-01A-11R-A14M-07,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0
TCGA-E9-A22E-01A-11R-A157-07,0,0,1,1,0,0,0,5,2296,1,23,0,0,0,0,0,3,0
TCGA-AN-A0FJ-01A-11R-A00Z-07,2,0,0,5,0,0,0,100,0,1,370,0,0,0,0,0,1,1
TCGA-E2-A15H-01A-11R-A12D-07,0,0,0,18,0,0,0,0,0,0,1,0,0,4,0,0,1,0
TCGA-BH-A0DO-11A-22R-A12D-07,0,1,0,6,0,0,0,0,0,0,0,1,0,2,0,1,0,0
